Latitude,Longitude,cidade,estado
-27.25375077956938,-48.65619168887074,tijucas,SC
-11.215406044401858,-39.506159834894234,santo antonio de jesus,BA
-13.377729464034015,-52.301927387821,canarana,MT
-23.723570264599033,-46.84041033563743,itapecerica da serra,SP
-25.609004978636868,-53.38169584625385,nova prata do iguacu,PR
-26.989719346679976,-51.421714468730016,treze tilias,SC
-20.75040963031409,-40.65378589243676,anchieta,ES
-23.56846088449673,-49.90650490058246,quatigua,PR
-19.723968428307067,-50.31761435382792,iturama,MG
-26.480878340223214,-51.92369228593466,palmas,PR
-27.749897768075293,-54.242274541580784,tres de maio,RS
-21.698220519397566,-47.493221538063295,santa rita do passa quatro,SP
-15.666042446752732,-58.77307654293608,porto esperidiao,MT
-21.195581422009347,-47.81340700145709,bonfim paulista,SP
-21.275222350530278,-47.311143971902965,cajuru,SP
-26.782734084182607,-51.00263751122681,cacador,SC
-2.995977978372907,-47.398291638301544,paragominas,PA
-21.977675936228685,-48.41935487499998,boa esperanca do sul,SP
-21.374614398625297,-45.569520047397084,tres pontas,MG
-7.229597142859863,-39.31523278226642,juazeiro do norte,CE
-20.053783048181057,-45.97527518554455,bambui,MG
-22.035633649045685,-43.25774306007115,comendador levy gasparian,RJ
-10.386074758058108,-37.37878589064772,sao miguel do aleixo,SE
-9.413245859079593,-36.6649142130972,palmeira dos indios,AL
-23.163672943332465,-47.74554420250533,cerquilho,SP
-25.696421626323158,-52.61883296834081,saudade do iguacu,PR
-23.056225324226155,-49.63058121045394,ipaussu,SP
